person_id,id,character,role
45074,tm162994,Mrs. Harriet Mason,ACTOR
41664,tm162994,Conway (pilot),ACTOR
28507,tm162994,Sœur Madeline,ACTOR
13323,tm162994,Jim Hatton,ACTOR
106309,tm162994,Lily,ACTOR
13331,tm162994,Newark Radio Operator,ACTOR
32998,tm162994,Salt Lake City Hospital Chemist,ACTOR
573126,tm162994,John Mason Jr. - Infant,ACTOR
152762,tm162994,Mr. Carter,ACTOR
27221,tm162994,Judge,ACTOR
93473,tm162994,Ranger on Telephone,ACTOR
573124,tm162994,Younger Doolittle,ACTOR
41704,tm162994,Omaha Radio Operator,ACTOR
134057,tm162994,Juror,ACTOR
49071,tm162994,Co-Worker,ACTOR
45076,tm162994,Annie - Cook #1,ACTOR
13316,tm162994,Dr. Healy,ACTOR
47770,tm162994,Mounted Policeman,ACTOR
27248,tm162994,Hutch,ACTOR
13332,tm162994,Airport Operations Manager,ACTOR
134149,tm162994,Farmer's Wife,ACTOR
47782,tm162994,Hospital Cashier,ACTOR
57839,tm162994,Johns Hopkins technician,ACTOR
153264,tm162994,Tipsy Blonde at New Year's Eve Party,ACTOR
153084,tm162994,Collins,ACTOR
13330,tm162994,Farmer,ACTOR
20170,tm162994,Jury Foreman,ACTOR
573125,tm162994,Chicago Radio Operator,ACTOR
84208,tm162994,Ranger,ACTOR
573127,tm162994,Nurse,ACTOR
28509,tm162994,Messerschmidt,ACTOR
34478,tm162994,Bailiff,ACTOR
27304,tm162994,Juror,ACTOR
153646,tm162994,North Platte Radio Operator,ACTOR
573128,tm162994,Nurse,ACTOR
74814,tm162994,Rock Springs Radio Operator,ACTOR
31161,tm162994,Harry - Elevator Starter,ACTOR
573129,tm162994,Hilda - Cook #2,ACTOR
105983,tm162994,Denver Radio Operator,ACTOR
100259,tm162994,Juror,ACTOR
127302,tm162994,Office Boy,ACTOR
58329,tm162994,Office Worker,ACTOR
110897,tm162994,John Horace Mason's Secretary,ACTOR
29633,tm162994,Simon - Judge Doolittle's Brother,ACTOR
137709,tm162994,Newark Official,ACTOR
2144042,tm162994,John Mason Jr. - One Year Old,ACTOR
32993,tm162994,Dr. Langham's Nurse-Receptionist,ACTOR
219911,tm162994,Eunice Doolittle,ACTOR
63422,tm162994,Nurse,ACTOR
132996,tm162994,New York Hospital Chemist,ACTOR
103313,tm162994,,DIRECTOR
136048,tm2721,The Thief of Bagdad,ACTOR
73328,tm2721,His Evil Associate,ACTOR
209235,tm2721,The Holy Man,ACTOR
581619,tm2721,The Princess,ACTOR
224247,tm2721,The Mongol Prince,ACTOR
152150,tm2721,The Mongol Slave,ACTOR
88773,tm2721,The Caliph,ACTOR
598665,tm2721,The Soothsayer,ACTOR
28654,tm2721,The Indian Prince,ACTOR
577110,tm2721,Sworder (uncredited),ACTOR
582174,tm2721,Slave of the Lute (uncredited),ACTOR
584301,tm2721,Slave of the Sand Board (uncredited),ACTOR
102789,tm2721,Persian Prince (uncredited),ACTOR
152038,tm2721,Persian Prince's Awaker (uncredited),ACTOR
30488,tm2721,Child (uncredited),ACTOR
36513,tm2721,(uncredited),ACTOR
134250,tm2721,(uncredited),ACTOR
569673,tm2721,Gigantic Bat (uncredited),ACTOR
6136,tm2721,Eunuch (uncredited),ACTOR
584303,tm2721,Eunuch (uncredited),ACTOR
583116,tm2721,Mongol Prince's Counselor (uncredited),ACTOR
58277,tm2721,,DIRECTOR
24127,tm59314,Frank Bigelow,ACTOR
98188,tm59314,Paula Gibson,ACTOR
53590,tm59314,Majak,ACTOR
90870,tm59314,Miss Foster,ACTOR
129166,tm59314,Mrs. Philips,ACTOR
57469,tm59314,Halliday,ACTOR
565931,tm59314,Stanley Philips,ACTOR
55104,tm59314,Chester,ACTOR
113872,tm59314,Marla Rakubian,ACTOR
209925,tm59314,Sam,ACTOR
553275,tm59314,Sue,ACTOR
27277,tm59314,Dr. Matson,ACTOR
22257,tm59314,Dr. Schaefer,ACTOR
534057,tm59314,Dr. MacDonald,ACTOR
106289,tm59314,Kitty,ACTOR
55131,tm59314,Dave,ACTOR
865840,tm59314,Nurse,ACTOR
49085,tm59314,Man in Hallway,ACTOR
33003,tm59314,Man at Fisherman Table,ACTOR
90201,tm59314,Homicide Detective (uncredited),ACTOR
137354,tm59314,Angelo (uncredited),ACTOR
7755,tm59314,,ACTOR
836229,tm59314,,ACTOR
37829,tm59314,,ACTOR
57645,tm59314,,ACTOR
27257,tm59314,,ACTOR
465083,tm59314,,ACTOR
210907,tm59314,,ACTOR
56740,tm59314,,ACTOR
33391,tm59314,,ACTOR
44081,tm59314,,ACTOR
137466,tm59314,,ACTOR
64299,tm59314,,ACTOR
569166,tm59314,,ACTOR
61150,tm59314,,DIRECTOR
73663,tm74188,Mowgli,ACTOR
106653,tm74188,Buldeo,ACTOR
14710,tm74188,The Barber,ACTOR
14768,tm74188,The Pundit,ACTOR
49036,tm74188,Messua,ACTOR
203393,tm74188,Mahala,ACTOR
137685,tm74188,Durga,ACTOR
55894,tm74188,English Girl,ACTOR
28654,tm74188,Sikh,ACTOR
1281051,tm74188,Rao,ACTOR
10548,tm74188,Kaa (voice),ACTOR
55260,tm74188,,DIRECTOR
53449,tm159958,Terry McKay,ACTOR
36586,tm159958,Michel Marnet,ACTOR
60610,tm159958,Michel's Grandmother,ACTOR
98828,tm159958,Kenneth Bradley,ACTOR
27182,tm159958,Lois Clarke,ACTOR
90196,tm159958,Maurice Cobert,ACTOR
65189,tm159958,Boy on Ship (uncredited),ACTOR
138203,tm159958,Terry's Landlady (uncredited),ACTOR
138204,tm159958,Autograph Seeker (uncredited),ACTOR
72300,tm159958,Drunk with Christmas Tree (uncredited),ACTOR
14166,tm159958,Woman in Couple on Deck (uncredited),ACTOR
63069,tm159958,Cafe Manager (uncredited),ACTOR
61126,tm159958,Doctor (uncredited),ACTOR
106289,tm159958,Nightclub Patron (uncredited),ACTOR
21781,tm159958,Doctor (uncredited),ACTOR
138206,tm159958,Terry's Maid Annie (uncredited),ACTOR
49033,tm159958,Autograph Seeker (uncredited),ACTOR
83139,tm159958,Shipboard Photographer (uncredited),ACTOR
45537,tm159958,Orphanage Superintendent (uncredited),ACTOR
49085,tm159958,Man in Couple on Deck (uncredited),ACTOR
49131,tm159958,Man (uncredited),ACTOR
27201,tm159958,Shipboard Passenger (uncredited),ACTOR
105459,tm159958,Priest (uncredited),ACTOR
60962,tm159958,,DIRECTOR
13303,tm100997,Philip Carey,ACTOR
33315,tm100997,Mildred Rogers,ACTOR
102817,tm100997,Sally Athelny,ACTOR
153236,tm100997,Norah,ACTOR
36590,tm100997,Harry Griffiths,ACTOR
20169,tm100997,Emil Miller,ACTOR
58345,tm100997,Cyril Dunsford,ACTOR
29116,tm100997,Thorpe Athelny,ACTOR
88928,tm100997,Dr. Jacobs,ACTOR
74809,tm100997,Cabbie at End (uncredited),ACTOR
1246225,tm100997,J. Murphy (uncredited),ACTOR
36157,tm100997,Policeman Removing Mildred (uncredited),ACTOR
58320,tm100997,Coughing Lady (uncredited),ACTOR
